monthly_income,income_stability_months,debt_ratio,savings_months_cover,language_level,housing_stability_months,local_references,employment_type_encoded,ngo_validation_encoded,volatility_of_income,income_growth_trend,asset_index,punctualidad_reportada,consistencia_declarativa,digital_interaction_score,zone_risk_index,vulnerability_score,target_default_flag,target_repayment_behavior
1422.8439,22,0.4525,1.1128,3,36,5,2,1,0.5909,-0.079,0.5084,0.8477,0.7936,0.7839,0.2326,0.819,0,0.8921
1647.7574,19,0.3439,9.2171,1,5,2,2,0,0.3734,-0.0384,0.0733,0.4077,0.9025,0.3573,0.4298,0.3921,0,0.8047
1039.8508,6,0.1754,0.699,3,20,2,0,0,0.5224,0.051,0.671,0.9398,0.5782,0.2105,0.4257,0.3073,1,0.7116
994.1585,17,0.6207,0.014,2,40,2,0,1,0.1298,-0.0237,0.4938,0.9013,0.7873,0.399,0.4806,0.8128,1,0.59
2714.2282,16,0.4008,2.9187,1,10,3,2,0,0.1776,0.0044,0.4932,0.4587,0.9776,0.5082,0.3496,0.3122,1,0.8018
3562.1516,4,0.1284,0.3931,4,24,2,1,0,0.3474,-0.0256,0.6843,0.6359,0.7574,0.5672,0.3374,0.7188,0,0.7775
1744.1017,48,0.0943,0.1078,3,15,5,0,0,0.1298,0.0435,0.4013,0.59,0.8501,0.5281,0.5963,0.5956,0,0.9923
2986.2284,10,0.1776,5.1543,2,24,3,0,1,0.2201,0.0265,0.5879,0.8495,0.5548,0.5239,0.6539,0.4067,0,1.0
2166.3912,4,0.0353,3.1386,2,21,1,1,1,0.6755,-0.0317,0.3363,0.7932,0.9221,0.6436,0.3201,0.7327,0,0.8298
1309.5517,11,0.5738,0.2167,2,9,4,1,1,0.0902,0.0429,0.7494,0.5231,0.3481,0.3995,0.5114,0.5247,0,0.7092
2166.1308,13,0.2544,3.0004,0,30,1,0,0,0.2191,0.0457,0.2201,0.7792,0.7745,0.8766,0.2244,0.5035,1,0.7604
3901.1173,15,0.1008,3.7158,2,3,3,2,1,0.2937,0.0301,0.5375,0.9487,0.9362,0.4066,0.472,0.709,0,0.9645
1775.9433,13,0.2705,4.7141,1,10,0,0,0,0.375,0.0122,0.569,0.6521,0.4876,0.9208,0.4369,0.1866,0,0.6533
3953.3628,16,0.0893,1.5692,2,20,1,0,1,0.4726,0.1853,0.5887,0.5823,0.5742,0.3402,0.4786,0.5847,0,0.9126
487.9083,18,0.4531,2.4308,4,37,1,0,0,0.3157,-0.0705,0.4648,0.912,0.3485,0.7352,0.2483,0.6469,0,0.6418
2726.9833,17,0.3781,2.873,1,23,2,2,0,0.1509,-0.0142,0.2126,0.7506,0.8067,0.2786,0.4756,0.7471,1,0.6216
1888.4724,22,0.3913,2.3336,1,4,4,2,1,0.2533,0.0004,0.8345,0.7149,0.8869,0.6061,0.6784,0.5001,0,0.8885
1556.9691,23,0.2898,2.0816,5,21,1,0,0,0.2176,0.0636,0.3121,0.9748,0.6314,0.548,0.5693,0.76,0,0.7198
1892.9285,23,0.3461,1.5862,3,4,1,0,0,0.4609,-0.0129,0.1563,0.8489,0.8675,0.4383,0.4782,0.5699,0,0.592
669.2887,27,0.2259,1.3048,1,14,3,2,1,0.2769,0.0575,0.6712,0.6712,0.9463,0.6756,0.5975,0.7399,1,0.8043
1619.9719,9,0.412,11.1064,1,17,3,1,0,0.3884,-0.0281,0.8768,0.5484,0.6905,0.3247,0.2571,0.7918,1,0.7164
2161.4969,9,0.4036,0.8237,3,18,5,0,0,0.5179,0.0237,0.5086,0.7673,0.7128,0.5044,0.2191,0.6981,0,0.6348
3785.5521,33,0.2967,0.1848,2,38,3,2,0,0.3795,0.0443,0.2381,0.565,0.7833,0.8044,0.7404,0.8953,0,0.5602
1395.3002,11,0.5219,2.8967,3,30,1,1,1,0.3123,-0.0298,0.3502,0.8422,0.6794,0.0775,0.7842,0.629,0,0.7814
1206.831,15,0.4522,0.4812,2,39,2,0,0,0.307,0.0396,0.1278,0.5731,0.7285,0.3266,0.6987,0.751,0,0.3814
1406.8683,14,0.1193,1.5215,5,37,3,1,1,0.2039,0.0729,0.1225,0.7002,0.8862,0.6863,0.4089,0.2705,0,1.0
2857.4962,60,0.123,0.2014,3,25,0,1,0,0.6509,-0.0037,0.4771,0.6094,0.7401,0.4586,0.6115,0.7476,0,0.7306
2131.0616,7,0.093,1.9314,0,6,3,1,0,0.5306,-0.048,0.2931,0.6338,0.6455,0.3667,0.3769,0.6778,1,0.422
1387.3072,7,0.1597,5.7651,2,22,3,1,0,0.6567,-0.0142,0.698,0.4321,0.7299,0.743,0.2397,0.3895,0,0.7405
2337.0243,16,0.3442,2.5653,3,37,0,1,0,0.0672,-0.0031,0.5376,0.5381,0.8981,0.2,0.4359,0.4759,0,0.8095
1897.9673,14,0.6918,0.483,1,12,2,0,0,0.3756,0.0494,0.3191,0.6279,0.4072,0.8186,0.2105,0.2106,1,0.1322
2934.5884,5,0.2877,7.0905,0,12,0,0,0,0.6177,-0.0435,0.8112,0.6332,0.7709,0.5017,0.3209,0.4407,0,0.5789
1272.7987,15,0.3135,0.7337,1,12,3,1,0,0.3429,0.0335,0.2577,0.5372,0.7159,0.419,0.2226,0.7831,0,0.4243
1534.8208,16,0.3809,1.1476,3,22,3,2,0,0.6051,0.0293,0.4924,0.8944,0.6616,0.3294,0.5413,0.8165,1,0.5119
1486.1526,10,0.3512,1.3788,3,23,3,2,1,0.6767,0.0252,0.6398,0.4346,0.5163,0.9716,0.6177,0.1755,0,0.7667
869.7819,14,0.1707,9.3595,1,30,4,0,0,0.3992,0.0617,0.4815,0.8751,0.7752,0.8927,0.6054,0.3551,0,0.8679
2096.5746,8,0.2075,0.1428,3,37,3,1,0,0.4651,0.0146,0.1945,0.2689,0.8901,0.6478,0.3969,0.5606,1,0.6575
2060.1367,5,0.3666,2.3863,3,36,1,2,0,0.2051,-0.0266,0.5608,0.3712,0.6496,0.1281,0.2545,0.5156,0,0.6177
1812.671,11,0.2147,0.8986,5,12,1,0,0,0.2094,-0.0017,0.8174,0.7945,0.4759,0.7896,0.5199,0.1353,1,0.7631
1607.9357,6,0.2237,0.1631,4,25,2,2,0,0.1462,0.0035,0.602,0.7863,0.7167,0.5152,0.2204,0.5604,1,0.846
890.9734,4,0.2151,5.4677,5,11,3,0,1,0.1244,-0.0238,0.4647,0.9498,0.8,0.3986,0.3758,0.2261,0,0.963
1465.0979,2,0.3967,1.7825,5,42,3,2,1,0.3794,-0.0717,0.7165,0.8397,0.8953,0.5064,0.6539,0.6302,0,0.9888
1523.3128,19,0.1376,2.8009,2,25,2,1,0,0.3066,0.0066,0.053,0.9047,0.2798,0.2063,0.5851,0.8354,0,0.504
1210.5879,11,0.2044,0.5499,3,22,0,2,1,0.4538,0.0129,0.5015,0.9227,0.4922,0.8099,0.2485,0.6515,0,0.8568
1667.9609,34,0.6426,2.8671,2,58,0,2,0,0.6655,-0.0019,0.3717,0.7024,0.5113,0.6181,0.7892,0.9454,1,0.024
2212.8254,12,0.4043,3.5261,3,4,2,2,1,0.5881,0.0027,0.7433,0.519,0.5892,0.3603,0.4798,0.427,0,0.741
4642.893,19,0.1412,1.1272,2,29,0,0,0,0.4262,-0.0446,0.8625,0.7715,0.6644,0.1878,0.5759,0.5309,1,0.6713
1972.9574,9,0.3196,1.6971,3,21,5,0,0,0.1845,-0.1198,0.623,0.6554,0.7871,0.2834,0.7118,0.6739,1,0.693
2056.5296,16,0.1513,7.142,0,19,1,1,1,0.4065,-0.0127,0.3934,0.7906,0.7687,0.1432,0.5279,0.7945,0,0.9216
1741.9789,2,0.6704,3.7511,2,12,3,0,0,0.2782,-0.0668,0.6599,0.6801,0.7074,0.5353,0.374,0.4012,1,0.2426
692.712,11,0.1226,1.177,2,21,3,0,0,0.2051,0.0183,0.6098,0.704,0.8871,0.0926,0.7513,0.1432,0,0.8015
1784.2315,7,0.1363,2.1847,5,22,0,2,1,0.6613,-0.0535,0.6219,0.9071,0.9677,0.0938,0.6793,0.2443,0,0.9373
1863.32,31,0.3773,3.0671,1,29,2,1,1,0.5895,-0.0022,0.4755,0.7514,0.5807,0.3534,0.6697,0.1768,0,0.8912
6000.0,18,0.1799,0.0493,4,22,4,2,1,0.4743,-0.0147,0.6963,0.5058,0.9156,0.5121,0.302,0.6073,0,1.0
1642.245,28,0.5116,1.7752,1,38,3,0,0,0.0693,-0.0369,0.3225,0.6119,0.6675,0.3282,0.7518,0.6259,0,0.5342
2102.2714,36,0.3315,8.3375,3,17,5,0,0,0.454,0.0501,0.8582,0.4061,0.7184,0.5262,0.2797,0.1701,0,0.9341
1776.933,10,0.4982,5.8818,2,58,3,1,1,0.5336,-0.0568,0.6848,0.818,0.7369,0.526,0.3256,0.5288,0,0.9301
1007.937,18,0.1218,3.5728,2,20,2,2,0,0.6692,-0.1177,0.3796,0.7397,0.6773,0.4515,0.7885,0.2907,1,0.5845
3201.6174,6,0.1152,0.2246,5,13,1,0,0,0.4204,-0.061,0.1418,0.8772,0.6697,0.2045,0.5897,0.9189,0,0.6027
2633.23,21,0.2995,10.2459,2,13,1,1,0,0.1754,0.0764,0.233,0.9598,0.9461,0.3847,0.7189,0.5431,0,0.9544
2685.2147,24,0.4057,1.8809,2,3,3,2,1,0.3366,-0.0135,0.3195,0.5848,0.7848,0.7307,0.4957,0.505,0,0.8679
1147.4602,20,0.0609,0.5044,3,29,1,2,0,0.3269,0.0543,0.362,0.6001,0.9634,0.8753,0.4644,0.5867,0,0.8528
3646.0408,10,0.3988,2.2434,3,23,2,0,0,0.5231,-0.0008,0.8231,0.8196,0.7501,0.6918,0.2656,0.2721,0,0.7977
897.0167,51,0.3524,3.8832,5,28,0,0,0,0.6291,0.0602,0.398,0.8183,0.8716,0.1062,0.4703,0.0923,0,0.8906
2424.6163,16,0.3762,0.2383,3,6,2,0,0,0.6544,-0.0411,0.5477,0.9241,0.9383,0.3019,0.5729,0.207,1,0.569
5405.8004,6,0.1792,4.9643,3,47,1,2,0,0.291,0.0142,0.838,0.7484,0.5744,0.508,0.7405,0.0642,0,0.9337
1101.8345,25,0.5211,5.0566,2,30,1,2,0,0.4491,0.0398,0.435,0.5681,0.6059,0.5919,0.7149,0.1486,0,0.5938
1362.1929,32,0.0834,0.0271,3,9,0,0,1,0.4201,-0.0633,0.6017,0.8688,0.9106,0.4612,0.6703,0.0222,0,0.9305
1900.4114,6,0.3219,4.6116,3,7,3,1,0,0.5507,-0.0515,0.301,0.7937,0.7796,0.8223,0.4712,0.564,0,0.6464
1405.6599,13,0.3957,5.8681,2,15,2,2,0,0.5696,-0.0125,0.6572,0.7492,0.9614,0.36,0.2628,0.4983,0,0.7299
832.6957,4,0.1296,0.0768,3,40,5,0,0,0.0731,0.0239,0.7089,0.5692,0.8087,0.5903,0.224,0.5282,0,0.8829
1871.0995,37,0.0575,0.6968,2,45,1,1,1,0.3647,-0.0397,0.5222,0.916,0.8406,0.7835,0.2334,0.4245,0,1.0
1062.9976,15,0.5824,0.934,3,28,2,0,0,0.4945,0.057,0.6578,0.8951,0.9518,0.5061,0.4644,0.9422,0,0.3939
2291.1204,7,0.4263,0.8582,2,13,3,2,0,0.0718,0.0476,0.3011,0.7912,0.5831,0.334,0.5709,0.6124,0,0.6487
1141.7162,32,0.3999,2.8459,2,11,1,0,0,0.0882,-0.0031,0.9574,0.7832,0.8634,0.2796,0.3654,0.3162,0,0.7924
3924.3939,16,0.2503,0.8867,3,20,0,1,0,0.3632,0.0223,0.1213,0.4421,0.8414,0.0649,0.2758,0.3599,0,0.7461
1222.1579,29,0.3103,6.2736,1,13,4,0,1,0.282,0.0365,0.1287,0.8021,0.8391,0.4576,0.4986,0.8107,0,0.9464
1539.1248,22,0.2807,10.5937,0,40,5,0,1,0.3642,0.0426,0.5508,0.6918,0.5909,0.221,0.2228,0.1671,0,0.983
2715.5739,7,0.4364,0.762,1,29,4,2,0,0.4857,0.0251,0.5156,0.6775,0.839,0.1675,0.5151,0.2924,0,0.6203
977.0793,10,0.2755,1.4218,2,14,2,1,1,0.1993,-0.0291,0.6759,0.5864,0.6403,0.602,0.3726,0.8093,0,0.7082
2025.8203,8,0.1328,1.6316,2,4,4,2,1,0.1104,-0.0824,0.6339,0.5304,0.7609,0.4757,0.7897,0.1656,0,0.8604
3475.7702,5,0.126,1.7322,4,11,0,1,1,0.6791,0.008,0.459,0.8406,0.5373,0.5838,0.3415,0.2878,0,1.0
809.3718,3,0.512,0.9375,2,20,2,0,0,0.4624,0.0624,0.7545,0.8723,0.7678,0.658,0.3208,0.4548,0,0.4787
1982.9024,58,0.0819,0.363,3,17,1,0,0,0.5172,0.0665,0.5387,0.4707,0.9124,0.2111,0.248,0.5062,0,0.879
2058.9294,20,0.3915,0.1122,3,8,2,1,1,0.2709,0.0159,0.5035,0.8833,0.8191,0.6726,0.5369,0.2317,0,0.8888
2672.879,22,0.1851,0.2249,3,33,2,2,1,0.5075,-0.0228,0.5131,0.6147,0.8542,0.3672,0.6957,0.4436,1,0.7598
974.1104,35,0.039,4.6312,0,17,0,1,1,0.6589,0.0461,0.8799,0.7266,0.8242,0.734,0.5858,0.3072,0,0.9112
934.2758,10,0.398,0.6581,4,15,1,1,1,0.4777,-0.0549,0.2849,0.6754,0.4779,0.8547,0.688,0.395,0,0.7056
2347.1821,4,0.3591,0.1599,5,30,3,2,1,0.5534,-0.0308,0.3575,0.8879,0.8001,0.3906,0.4194,0.5693,0,0.9336
2097.4809,27,0.2568,1.9538,1,20,2,0,0,0.4279,-0.0716,0.6032,0.8474,0.7062,0.2502,0.4706,0.6154,1,0.6442
2049.2854,5,0.1877,0.1566,3,21,2,2,0,0.4393,0.0499,0.5132,0.9145,0.765,0.71,0.781,0.5887,1,0.5327
2150.0021,27,0.568,0.1453,0,26,3,1,0,0.3632,-0.0818,0.7539,0.8291,0.808,0.5244,0.409,0.4905,0,0.4964
1286.895,3,0.2853,1.9435,0,41,3,1,0,0.3569,0.0204,0.2597,0.6924,0.5461,0.3823,0.5696,0.3923,0,0.4967
2030.6817,5,0.2239,1.79,2,31,3,0,1,0.8058,0.1163,0.5,0.8852,0.8067,0.6121,0.5024,0.5822,0,0.9306
2093.382,9,0.1124,0.0847,4,9,1,0,0,0.4389,0.0201,0.4978,0.9525,0.8174,0.5634,0.2892,0.5092,0,0.8631
1264.9961,26,0.1194,1.2341,3,60,5,0,0,0.2732,-0.0485,0.6411,0.4965,0.9281,0.5353,0.7145,0.4962,0,0.843
4595.7501,47,0.4021,1.1446,2,20,3,2,0,0.0799,-0.0209,0.9291,0.2802,0.9089,0.1981,0.3,0.8096,0,0.8092
2291.3959,22,0.2212,1.5824,2,3,2,0,1,0.3408,-0.0755,0.4996,0.7692,0.8766,0.6571,0.227,0.5254,0,0.9205
996.5988,10,0.0114,2.6776,3,12,0,0,0,0.2516,-0.0447,0.5459,0.7756,0.4997,0.1655,0.3627,0.1516,1,0.7804
2510.5994,31,0.1704,0.6648,2,12,1,2,0,0.0831,-0.0357,0.6537,0.7847,0.7529,0.5272,0.5741,0.2527,0,0.8357
1110.6039,3,0.4507,1.134,4,42,3,1,1,0.8823,-0.0417,0.5316,0.6302,0.7222,0.5159,0.7278,0.4949,1,0.5619
2679.9202,7,0.3726,3.1476,3,23,1,0,0,0.3458,0.0068,0.734,0.8584,0.7157,0.5025,0.3528,0.1512,1,0.7609
3226.9664,17,0.1909,5.1164,3,22,1,0,0,0.1392,-0.139,0.2155,0.8442,0.5182,0.4624,0.6107,0.4103,0,0.8436
1199.4985,28,0.6533,4.4387,3,24,2,1,1,0.0517,-0.0621,0.7655,0.6785,0.836,0.6089,0.7883,0.4281,0,0.5904
2926.8676,14,0.1073,1.2988,5,29,2,1,0,0.2474,0.0287,0.8233,0.4627,0.9686,0.7424,0.4255,0.3301,0,0.9566
2222.5055,12,0.0909,1.4715,3,27,0,0,1,0.5476,0.105,0.2662,0.6678,0.9574,0.495,0.6645,0.3703,0,0.9402
2727.1983,13,0.0822,1.5062,1,11,2,2,0,0.1276,0.0215,0.6602,0.8454,0.9201,0.7655,0.3861,0.2747,0,0.826
4667.5822,34,0.1536,4.0608,2,49,3,0,0,0.459,-0.0419,0.3969,0.3432,0.7502,0.8371,0.4403,0.824,0,0.879
1599.2754,8,0.3759,3.6644,2,5,3,1,0,0.7648,0.0425,0.4161,0.3365,0.7337,0.5422,0.6349,0.1519,1,0.3623
1240.329,6,0.1845,0.7466,5,43,2,2,0,0.3522,0.0547,0.5712,0.6498,0.8851,0.6985,0.7046,0.6228,0,0.7106
1158.9188,13,0.2396,0.3555,2,5,2,2,1,0.2514,-0.0376,0.1367,0.5083,0.6653,0.2987,0.2934,0.2328,0,0.876
1202.4241,38,0.0565,0.9528,1,12,0,0,1,0.3689,-0.043,0.4401,0.9143,0.8828,0.3426,0.3754,0.675,0,0.994
1739.6673,9,0.5111,0.6805,2,21,2,1,1,0.3828,0.0806,0.7018,0.6072,0.7597,0.1924,0.7311,0.6002,0,0.6827
2144.3162,13,0.4585,6.0229,2,18,1,1,1,0.5673,-0.054,0.6433,0.5772,0.926,0.6459,0.6965,0.3061,0,0.8122
2076.3055,3,0.2268,0.6183,3,11,3,0,0,0.08,0.0876,0.6184,0.8555,0.7731,0.2708,0.3159,0.6447,0,0.7702
2734.193,13,0.2256,0.3998,2,28,5,1,1,0.2031,0.0281,0.4648,0.8835,0.7049,0.3865,0.4674,0.4808,0,0.9281
1819.8347,19,0.2684,4.5948,0,16,0,0,0,0.1669,0.0642,0.1347,0.5029,0.4623,0.8683,0.4062,0.6569,1,0.5624
3739.7238,5,0.3079,0.1809,1,32,2,2,1,0.2901,0.0507,0.4721,0.6122,0.7967,0.3441,0.4575,0.8983,0,0.83
1583.9414,34,0.2879,0.6029,2,14,0,2,1,0.697,0.0523,0.9285,0.7962,0.4422,0.3318,0.5392,0.5571,0,0.7204
6000.0,19,0.3069,1.1565,2,13,1,1,0,0.3197,-0.0573,0.8533,0.253,0.9177,0.4515,0.2738,0.4307,1,0.7962
2472.1257,10,0.237,1.8083,4,23,1,0,0,0.4952,0.0362,0.2454,0.7833,0.7732,0.9178,0.4554,0.4631,1,0.7754
1177.8208,19,0.1203,0.794,2,35,3,2,0,0.1975,0.0635,0.057,0.9545,0.5531,0.6851,0.6239,0.4774,0,0.7727
1058.4425,23,0.3096,1.3713,0,32,0,1,0,0.3669,-0.012,0.165,0.7688,0.7594,0.1941,0.3197,0.1256,0,0.7381
2301.3155,2,0.202,0.4434,4,8,4,0,0,0.4508,-0.0994,0.6541,0.5836,0.768,0.1075,0.6381,0.6505,0,0.5797
